,step,avg return
0,0,0.0
1,1000,7.329000473022461
2,2000,186.90609741210938
3,3000,-9.951000213623047
4,4000,10.609000205993652
5,5000,-9.990998268127441
6,6000,-9.050999641418457
7,7000,32.110897064208984
8,8000,-5.720999717712402
9,9000,11.600811004638672
10,10000,365.05010986328125
11,11000,6.2690019607543945
12,12000,64.46000671386719
13,13000,0.0
14,14000,0.0
15,15000,76.19709014892578
16,16000,61.990997314453125
17,17000,0.0
18,18000,0.0
19,19000,0.0
20,20000,0.0
21,21000,0.0
22,22000,9.419999122619629
23,23000,0.0
24,24000,0.0
25,25000,0.0
26,26000,-3.3911244869232178
27,27000,0.0
28,28000,0.0
29,29000,-7.440999984741211
30,30000,-4.920000076293945
31,31000,34.2969970703125
32,32000,3.7790017127990723
33,33000,-2.6999998092651367
34,34000,0.0
35,35000,-4.579999923706055
36,36000,54.900001525878906
37,37000,-3.559999704360962
38,38000,-2.347593307495117
39,39000,9.33900260925293
40,40000,0.0
41,41000,-3.1399998664855957
42,42000,-10.60099983215332
43,43000,-2.6999998092651367
44,44000,-2.6999998092651367
45,45000,-5.840000152587891
46,46000,71.7699966430664
47,47000,71.7699966430664
48,48000,-3.559999704360962
49,49000,-6.960999965667725
50,50000,90.82110595703125
51,51000,0.0
52,52000,70.31999969482422
53,53000,71.22000122070312
54,54000,71.22000122070312
55,55000,71.22000122070312
56,56000,71.7699966430664
57,57000,70.24000549316406
58,58000,-13.261000633239746
59,59000,-5.619999885559082
60,60000,71.22000122070312
61,61000,70.24000549316406
62,62000,122.02562713623047
63,63000,-3.239999771118164
64,64000,40.77954864501953
65,65000,-4.810999393463135
66,66000,-10.050999641418457
67,67000,-7.840000152587891
68,68000,34.0536994934082
69,69000,-43.33150863647461
70,70000,-11.029999732971191
71,71000,71.22000122070312
72,72000,22.399097442626953
73,73000,-11.479999542236328
74,74000,70.67000579833984
75,75000,73.260009765625
76,76000,-23.231000900268555
77,77000,71.27000427246094
78,78000,71.7699966430664
79,79000,-11.029999732971191
80,80000,-9.460000038146973
81,81000,69.52999877929688
82,82000,70.31999969482422
83,83000,80.22000122070312
84,84000,-12.3410005569458
85,85000,70.30000305175781
86,86000,-0.6499999761581421
87,87000,-8.4399995803833
88,88000,72.33000183105469
89,89000,67.85520935058594
90,90000,14.210000038146973
91,91000,442.8387451171875
92,92000,-10.010000228881836
93,93000,0.3590022325515747
94,94000,-37.15381622314453
95,95000,-10.010000228881836
96,96000,-13.4010009765625
97,97000,-3.0299999713897705
98,98000,-3.0299999713897705
99,99000,19.622207641601562
100,100000,-1.139999508857727
